xi                               psi                              tsi                              mai                             
 0.000000e+00     1.088620e+05     2.993323e+02     5.535992e-01
 2.040816e-02     1.089577e+05     2.979658e+02     5.455767e-01
 4.081633e-02     1.091284e+05     2.960667e+02     5.300710e-01
 6.122449e-02     1.092632e+05     2.956133e+02     5.174987e-01
 8.163265e-02     1.093537e+05     2.959242e+02     5.078245e-01
 1.020408e-01     1.094280e+05     2.964368e+02     4.986885e-01
 1.224490e-01     1.095416e+05     2.970384e+02     4.895456e-01
 1.428571e-01     1.096498e+05     2.976892e+02     4.811699e-01
 1.632653e-01     1.096630e+05     2.983918e+02     4.748287e-01
 1.836735e-01     1.096173e+05     2.991198e+02     4.696671e-01
 2.040816e-01     1.096257e+05     2.999297e+02     4.647903e-01
 2.244898e-01     1.097410e+05     3.009659e+02     4.606243e-01
 2.448980e-01     1.099143e+05     3.021198e+02     4.567440e-01
 2.653061e-01     1.100909e+05     3.032538e+02     4.526606e-01
 2.857143e-01     1.102568e+05     3.043706e+02     4.492616e-01
 3.061224e-01     1.103885e+05     3.054761e+02     4.478973e-01
 3.265306e-01     1.104974e+05     3.065712e+02     4.476767e-01
 3.469388e-01     1.106035e+05     3.076521e+02     4.472296e-01
 3.673469e-01     1.107072e+05     3.087031e+02     4.471139e-01
 3.877551e-01     1.108091e+05     3.096922e+02     4.484757e-01
 4.081633e-01     1.109092e+05     3.106405e+02     4.508205e-01
 4.285714e-01     1.110074e+05     3.115854e+02     4.530560e-01
 4.489796e-01     1.111006e+05     3.124978e+02     4.555278e-01
 4.693878e-01     1.111810e+05     3.133042e+02     4.591883e-01
 4.897959e-01     1.112517e+05     3.140345e+02     4.637598e-01
 5.102041e-01     1.113210e+05     3.147632e+02     4.683300e-01
 5.306122e-01     1.113919e+05     3.154721e+02     4.728579e-01
 5.510204e-01     1.114732e+05     3.160778e+02     4.772608e-01
 5.714286e-01     1.115634e+05     3.165969e+02     4.815626e-01
 5.918367e-01     1.116556e+05     3.171134e+02     4.859006e-01
 6.122449e-01     1.117591e+05     3.176307e+02     4.901211e-01
 6.326531e-01     1.119008e+05     3.180980e+02     4.931739e-01
 6.530612e-01     1.120860e+05     3.185154e+02     4.952499e-01
 6.734694e-01     1.123184e+05     3.189359e+02     4.977463e-01
 6.938776e-01     1.126475e+05     3.193799e+02     5.004693e-01
 7.142857e-01     1.127740e+05     3.197604e+02     4.981396e-01
 7.346939e-01     1.124625e+05     3.200537e+02     4.902835e-01
 7.551020e-01     1.121566e+05     3.204076e+02     4.845256e-01
 7.755102e-01     1.122412e+05     3.208366e+02     4.834163e-01
 7.959184e-01     1.124909e+05     3.212682e+02     4.827926e-01
 8.163265e-01     1.126602e+05     3.216920e+02     4.801682e-01
 8.367347e-01     1.128048e+05     3.221230e+02     4.771693e-01
 8.571429e-01     1.131989e+05     3.226660e+02     4.777387e-01
 8.775510e-01     1.140368e+05     3.233840e+02     4.846298e-01
 8.979592e-01     1.148582e+05     3.240836e+02     4.921929e-01
 9.183673e-01     1.152723e+05     3.246625e+02     4.946411e-01
 9.387755e-01     1.154626e+05     3.252003e+02     4.932638e-01
 9.591837e-01     1.156699e+05     3.258192e+02     4.899727e-01
 9.795918e-01     1.159611e+05     3.271560e+02     4.752752e-01
 1.000000e+00     1.161236e+05     3.281395e+02     4.626970e-01
