xi                               psi                              tsi                              mai                             
 0.000000e+00     1.032197e+05     2.965403e+02     5.842705e-01
 2.040816e-02     1.033324e+05     2.945885e+02     5.796392e-01
 4.081633e-02     1.035635e+05     2.919954e+02     5.693564e-01
 6.122449e-02     1.037830e+05     2.913578e+02     5.599196e-01
 8.163265e-02     1.039696e+05     2.914260e+02     5.533611e-01
 1.020408e-01     1.041366e+05     2.915497e+02     5.481825e-01
 1.224490e-01     1.042986e+05     2.916641e+02     5.436076e-01
 1.428571e-01     1.044468e+05     2.917665e+02     5.394735e-01
 1.632653e-01     1.045614e+05     2.918510e+02     5.358657e-01
 1.836735e-01     1.046549e+05     2.919223e+02     5.325953e-01
 2.040816e-01     1.047499e+05     2.920007e+02     5.292511e-01
 2.244898e-01     1.048481e+05     2.921009e+02     5.257103e-01
 2.448980e-01     1.049482e+05     2.922097e+02     5.220745e-01
 2.653061e-01     1.050487e+05     2.923123e+02     5.184602e-01
 2.857143e-01     1.051364e+05     2.924006e+02     5.149293e-01
 3.061224e-01     1.051923e+05     2.924624e+02     5.115722e-01
 3.265306e-01     1.052296e+05     2.925045e+02     5.083278e-01
 3.469388e-01     1.052670e+05     2.925376e+02     5.051071e-01
 3.673469e-01     1.053021e+05     2.925673e+02     5.018625e-01
 3.877551e-01     1.053302e+05     2.926024e+02     4.985173e-01
 4.081633e-01     1.053537e+05     2.926368e+02     4.951203e-01
 4.285714e-01     1.053773e+05     2.926610e+02     4.917511e-01
 4.489796e-01     1.053961e+05     2.926779e+02     4.884740e-01
 4.693878e-01     1.053995e+05     2.926953e+02     4.854325e-01
 4.897959e-01     1.053920e+05     2.927121e+02     4.825614e-01
 5.102041e-01     1.053844e+05     2.927226e+02     4.797089e-01
 5.306122e-01     1.053740e+05     2.927284e+02     4.768694e-01
 5.510204e-01     1.053524e+05     2.927334e+02     4.740571e-01
 5.714286e-01     1.053219e+05     2.927377e+02     4.712669e-01
 5.918367e-01     1.052914e+05     2.927368e+02     4.684939e-01
 6.122449e-01     1.052579e+05     2.927306e+02     4.657522e-01
 6.326531e-01     1.052106e+05     2.927229e+02     4.630678e-01
 6.530612e-01     1.051515e+05     2.927134e+02     4.604336e-01
 6.734694e-01     1.050917e+05     2.926984e+02     4.578189e-01
 6.938776e-01     1.050294e+05     2.926774e+02     4.552773e-01
 7.142857e-01     1.049525e+05     2.926529e+02     4.530551e-01
 7.346939e-01     1.048624e+05     2.926253e+02     4.511309e-01
 7.551020e-01     1.047712e+05     2.925929e+02     4.492536e-01
 7.755102e-01     1.046776e+05     2.925522e+02     4.475048e-01
 7.959184e-01     1.045633e+05     2.924828e+02     4.465401e-01
 8.163265e-01     1.044282e+05     2.923853e+02     4.463581e-01
 8.367347e-01     1.042882e+05     2.922768e+02     4.464027e-01
 8.571429e-01     1.041359e+05     2.921455e+02     4.469423e-01
 8.775510e-01     1.039710e+05     2.919874e+02     4.480435e-01
 8.979592e-01     1.038015e+05     2.917884e+02     4.498896e-01
 9.183673e-01     1.036134e+05     2.915288e+02     4.529148e-01
 9.387755e-01     1.033525e+05     2.915472e+02     4.538315e-01
 9.591837e-01     1.030187e+05     2.929816e+02     4.348190e-01
 9.795918e-01     1.028063e+05     2.957353e+02     3.696831e-01
 1.000000e+00     1.027690e+05     2.972173e+02     3.226613e-01
